Foodgroup,sex_gp,race_gp,age_gp,subgroup_id,population,Intake_unit,outcome,outcome_unit,X1,X2,X3
added_sugar,Female,NHW,20-34,1,18192633,tsp eq/day,CED,MJ,3514316.20749767,3631031.20455901,3626938.11876241
added_sugar,Female,NHW,20-34,1,18192633,tsp eq/day,Food_price,USD,7551279.38030226,7658786.92352831,7836808.61645244
added_sugar,Female,NHW,20-34,1,18192633,tsp eq/day,FL,mrh-eq,161702.455573183,167072.803746968,166884.470658793
oil,Female,NHW,20-34,1,18192633,g/day,CED,MJ,981299.112217145,976617.76739743,978398.307504579
oil,Female,NHW,20-34,1,18192633,g/day,Food_price,USD,677675.814572792,675771.310350768,690593.787168333
oil,Female,NHW,20-34,1,18192633,g/day,FL,mrh-eq,52313.9625789575,52064.3957601672,52159.3179988364
sat_fat,Female,NHW,20-34,1,18192633,g/day,CED,MJ,7020072.50785463,6916428.03438029,7240160.31966126
sat_fat,Female,NHW,20-34,1,18192633,g/day,Food_price,USD,839873.071858339,814044.948002263,859449.952823838
sat_fat,Female,NHW,20-34,1,18192633,g/day,FL,mrh-eq,182973.208602374,180271.788945485,188709.641246834
added_sugar,Female,NHB,20-34,2,4596338,tsp eq/day,CED,MJ,1136697.52953567,1090771.55144263,1114475.81226241
added_sugar,Female,NHB,20-34,2,4596338,tsp eq/day,Food_price,USD,2090827.73488624,2029466.63659038,2039996.38694085
added_sugar,Female,NHB,20-34,2,4596338,tsp eq/day,FL,mrh-eq,44681.1946382736,42875.9408105761,43807.705562346
oil,Female,NHB,20-34,2,4596338,g/day,CED,MJ,270586.174624305,261489.98626383,261129.260857261
oil,Female,NHB,20-34,2,4596338,g/day,Food_price,USD,203237.858064407,195265.771402249,194028.889816661
oil,Female,NHB,20-34,2,4596338,g/day,FL,mrh-eq,13939.3386138673,13470.7453835287,13452.1624917909
sat_fat,Female,NHB,20-34,2,4596338,g/day,CED,MJ,1631102.63596118,1619945.0966366,1695119.90025824
